Timestamp,User,IP,Action
2025-05-03 19:16:00,charlie,192.168.2.15,LOGOUT
2025-05-05 15:34:07,eve,192.168.1.10,LOGOUT
2025-05-02 14:54:50,alice,10.0.0.5,LOGOUT
2025-05-06 12:31:30,charlie,10.0.0.5,LOGIN
2025-05-02 19:18:42,alice,192.168.2.15,LOGIN
2025-05-01 12:32:13,bob,192.168.1.10,LOGOUT
2025-05-06 17:18:53,charlie,10.0.0.5,LOGIN
2025-05-03 12:50:03,alice,10.0.0.5,LOGIN
2025-05-07 16:15:33,dave,192.168.1.10,LOGOUT
2025-05-07 06:03:21,bob,172.16.0.2,LOGOUT
2025-05-04 15:10:40,alice,10.0.0.5,LOGOUT
2025-05-01 13:27:02,charlie,10.0.0.5,LOGOUT
2025-05-06 05:49:10,bob,172.16.0.2,LOGOUT
2025-05-05 11:44:22,eve,10.0.0.5,LOGOUT
2025-05-07 08:13:04,charlie,10.0.0.5,LOGIN
2025-05-07 11:00:55,alice,172.16.0.2,LOGIN
2025-05-07 04:50:00,bob,172.16.0.2,LOGOUT
2025-05-05 21:10:31,charlie,192.168.1.10,LOGOUT
2025-05-02 09:39:51,bob,10.0.0.5,LOGIN
2025-05-03 15:36:43,charlie,172.16.0.2,LOGOUT
2025-05-03 04:30:47,eve,10.0.0.5,LOGIN
2025-05-06 07:25:47,eve,192.168.1.10,LOGOUT
2025-05-06 01:27:22,eve,192.168.2.15,LOGOUT
2025-05-07 19:20:10,dave,10.0.0.5,LOGOUT
2025-05-02 07:43:18,alice,10.0.0.5,LOGIN
2025-05-04 06:34:59,charlie,10.0.0.5,LOGOUT
2025-05-03 16:15:32,alice,172.16.0.2,LOGIN
2025-05-05 01:42:44,eve,192.168.2.15,LOGIN
2025-05-04 09:05:40,dave,192.168.2.15,LOGIN
2025-05-01 12:58:02,alice,10.0.0.5,LOGOUT
2025-05-02 23:56:12,bob,192.168.2.15,LOGIN
2025-05-05 04:48:27,dave,10.0.0.5,LOGIN
2025-05-01 19:40:09,alice,10.0.0.5,LOGIN
2025-05-02 15:45:10,charlie,172.16.0.2,LOGOUT
2025-05-06 21:43:19,eve,192.168.2.15,LOGIN
2025-05-01 20:45:05,bob,10.0.0.5,LOGIN
2025-05-03 08:54:27,alice,10.0.0.5,LOGIN
2025-05-01 12:10:47,bob,10.0.0.5,LOGIN
2025-05-03 15:31:00,charlie,172.16.0.2,LOGOUT
2025-05-04 10:19:21,dave,10.0.0.5,LOGOUT
2025-05-05 03:40:31,eve,10.0.0.5,LOGOUT
2025-05-01 21:27:15,alice,192.168.1.10,LOGIN
2025-05-02 07:05:39,charlie,172.16.0.2,LOGIN
2025-05-05 14:10:11,dave,192.168.2.15,LOGIN
2025-05-05 07:44:21,alice,10.0.0.5,LOGOUT
2025-05-04 12:42:18,charlie,192.168.2.15,LOGIN
2025-05-05 19:08:50,dave,10.0.0.5,LOGIN
2025-05-07 07:39:30,bob,172.16.0.2,LOGIN
2025-05-07 03:13:44,alice,10.0.0.5,LOGOUT
2025-05-02 11:50:28,charlie,172.16.0.2,LOGOUT
2025-05-03 12:15:08,eve,172.16.0.2,LOGIN
2025-05-04 02:12:47,bob,10.0.0.5,LOGIN
2025-05-05 09:00:52,dave,192.168.2.15,LOGIN
2025-05-03 06:20:09,charlie,192.168.1.10,LOGIN
2025-05-03 15:00:41,dave,10.0.0.5,LOGOUT
2025-05-01 09:40:45,charlie,172.16.0.2,LOGOUT
2025-05-05 20:55:09,eve,192.168.2.15,LOGIN
2025-05-01 10:40:19,alice,10.0.0.5,LOGOUT
2025-05-03 18:44:57,dave,10.0.0.5,LOGIN
2025-05-02 20:15:55,eve,172.16.0.2,LOGOUT
2025-05-04 20:50:12,charlie,192.168.2.15,LOGOUT
