Timestamp,Server,ErrorType,Message
2025-05-07 03:03:21,server2,Service,Service mysql failed to start
2025-05-03 02:15:07,server1,Disk,Disk space low
2025-05-06 12:02:25,server3,Service,Service ssh failed to start
2025-05-01 17:55:44,server1,Service,Service ssh failed to start
2025-05-04 10:21:35,server2,Disk,Disk space low
2025-05-01 16:45:33,server3,Disk,Disk space low
2025-05-07 06:09:38,server1,Service,Service ssh failed to start
2025-05-02 07:45:55,server3,Service,Service nginx failed to start
2025-05-04 10:20:48,server3,Disk,Disk space low
2025-05-01 22:09:40,server3,Disk,Disk space low
2025-05-04 12:50:02,server2,Disk,Disk space low
2025-05-01 23:32:30,server2,Service,Service nginx failed to start
2025-05-07 02:39:55,server3,Disk,Disk space low
2025-05-04 21:24:59,server1,Disk,Disk space low
2025-05-05 09:05:49,server1,Disk,Disk space low
2025-05-02 14:50:05,server3,Service,Service ssh failed to start
2025-05-06 06:24:01,server2,Disk,Disk space low
2025-05-03 03:43:08,server1,Service,Service mysql failed to start
2025-05-06 05:46:21,server1,Service,Service mysql failed to start
2025-05-01 14:15:43,server1,Disk,Disk space low
2025-05-06 17:20:34,server1,Disk,Disk space low
2025-05-07 04:55:23,server2,Disk,Disk space low
2025-05-03 17:32:05,server2,Service,Service mysql failed to start
2025-05-06 10:10:20,server2,Disk,Disk space low
2025-05-06 14:40:42,server3,Service,Service nginx failed to start
2025-05-06 12:44:59,server2,Disk,Disk space low
2025-05-07 02:39:47,server3,Service,Service ssh failed to start
2025-05-05 17:25:44,server1,Disk,Disk space low
